team #,match #,alliance color,starting level,preload,no show,moved forward,auto piece placed,double auto,ship cargo,level 1 cargo,level 2 cargo,level 3 cargo,ship hatches,level 1 hatches,level 2 hatches,level 3 hatches,hatches dropped,cargo dropped,hab attempt level,hab success,hab level reached,climb time,dead,defense,defended
1218,15,0,1,1,0,1,0,0,0,0,0,0,1,2,2,1,2,0,2,2,2,5,0,0,1
3604,15,0,2,2,0,1,0,0,7,1,0,0,0,0,0,0,0,2,3,2,3,10,0,0,1
3667,15,1,2,1,0,1,0,0,0,0,0,0,1,2,0,0,2,0,3,2,3,5,0,0,1
3044,15,1,2,2,0,1,1,0,6,2,0,0,0,0,0,0,0,1,2,2,2,2,0,0,0
7480,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,4,0,2,2
771,16,0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,2,0
1058,16,0,1,1,0,1,0,0,0,0,0,0,1,2,1,2,1,0,2,1,1,0,0,0,1
3618,16,0,2,2,0,1,1,0,4,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1
3624,16,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,2,2,2,7,0,0,0
2502,16,1,2,2,0,1,1,0,5,0,0,0,1,0,0,0,0,0,3,2,3,5,0,0,0
1676,16,1,2,1,0,1,1,0,2,0,0,2,0,1,0,2,0,0,2,2,2,3,0,0,0
1690,17,0,2,1,0,1,1,0,3,2,2,2,1,2,2,2,0,0,2,1,1,0,0,0,0
3542,17,0,1,1,0,1,1,0,0,0,2,1,1,2,2,1,1,3,3,2,3,4,0,0,0
2265,17,1,2,1,0,1,1,0,3,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0
7885,17,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0
175,17,1,1,1,0,1,0,0,1,1,0,0,2,1,0,0,0,0,2,1,1,0,0,0,0
125,17,1,1,1,0,1,1,1,0,0,2,2,0,0,2,2,0,1,3,2,3,5,1,0,1
245,18,0,2,1,0,1,1,0,0,2,2,0,0,2,2,1,0,1,3,2,3,15,0,0,0
1923,18,0,1,1,0,1,1,0,0,0,0,1,0,2,2,2,1,1,1,1,0,0,0,0,1
3381,18,0,1,2,0,1,0,0,3,2,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0
5811,18,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
772,18,1,2,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,2,2,2,4,0,0,0
88,18,1,2,1,0,1,1,0,4,2,0,0,0,3,0,0,1,0,3,2,3,3,0,0,0
190,19,0,2,1,0,1,1,0,5,1,0,0,1,1,0,0,0,2,3,2,3,10,0,0,0
5951,19,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,11,0,2,0
217,19,0,1,1,0,1,1,0,0,1,2,2,0,1,2,2,1,1,0,0,0,0,0,0,0
2791,19,1,2,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0
3146,19,1,1,1,0,1,1,0,2,1,0,0,1,0,0,0,0,0,3,2,3,8,0,1,1
1918,19,1,2,1,0,1,1,0,1,2,2,1,0,2,2,2,0,0,0,0,0,0,0,0,2
4481,20,0,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,2,3,10,0,2,0
5943,20,0,2,2,0,1,1,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7673,20,0,1,1,0,1,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0
103,20,1,2,1,0,1,1,0,0,0,2,0,0,1,2,2,1,0,2,1,1,0,0,0,0
4143,20,1,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,3,2,3,11,0,0,1
7719,20,1,2,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,2,1,0,0,1,0
365,21,0,1,1,0,1,1,0,4,2,0,0,1,2,0,0,0,1,3,2,3,9,0,0,0
353,21,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,10,0,2,0
191,21,0,2,1,0,1,1,0,0,0,0,0,1,1,2,0,2,0,2,2,2,8,0,0,0
16,21,1,1,1,0,1,1,0,0,0,2,2,0,1,2,2,0,0,1,2,1,0,0,0,1
2500,21,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2
1792,21,1,1,1,0,1,1,0,0,0,0,0,1,2,2,0,0,2,3,1,2,6,0,0,0
3926,22,0,2,1,0,1,1,0,1,0,0,0,4,2,0,0,2,0,3,2,3,13,0,0,1
3707,22,0,1,2,0,1,1,0,6,3,3,0,0,0,0,0,0,0,3,1,1,0,0,0,1
5567,22,0,1,1,0,1,1,0,0,0,0,0,1,0,3,0,1,0,2,2,2,8,0,0,1
3555,22,1,2,1,0,1,1,0,5,2,0,0,0,2,0,0,0,0,2,2,2,9,0,0,0
1781,22,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,2,2
2337,22,1,2,1,0,1,1,0,3,2,0,0,0,2,0,0,2,1,3,2,3,4,0,0,0
236,23,0,1,1,0,1,1,0,0,0,2,1,0,2,2,2,0,0,2,1,1,0,0,0,0
4481,23,0,1,1,0,1,1,0,2,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
2771,23,0,1,1,0,1,1,0,0,2,2,1,0,2,2,2,0,0,3,2,3,8,0,0,0
2502,23,1,2,2,0,1,0,0,5,0,0,0,0,1,0,0,0,0,3,2,3,9,0,0,0
5084,23,1,1,1,0,1,1,0,0,2,2,1,2,0,0,0,1,0,2,2,2,3,0,0,0
1024,23,1,2,1,0,1,1,0,0,0,0,0,1,2,2,1,0,0,1,2,1,0,0,0,0
245,24,0,2,1,0,1,1,0,6,1,2,0,1,0,0,0,0,1,3,2,3,4,0,0,1
1218,24,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
1918,24,0,2,1,0,1,1,0,0,1,0,1,0,2,2,1,2,2,1,2,1,0,0,0,1
2791,24,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,2,0
125,24,1,2,1,0,1,1,0,0,1,1,2,0,2,2,2,0,0,3,2,3,10,0,0,0
7651,24,1,2,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1
2830,25,0,2,1,0,1,0,0,4,0,0,0,1,2,0,0,1,1,2,2,2,10,0,0,0
225,25,0,2,1,0,1,1,0,2,1,0,0,0,1,0,1,0,0,3,2,3,5,0,0,2
7885,25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0
3146,25,1,1,1,0,1,0,0,0,0,0,0,2,1,0,0,3,1,3,2,3,11,0,0,0
250,25,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,2,2
