team #,match #,alliance color,starting level,preload,no show,moved forward,auto piece placed,double auto,ship cargo,level 1 cargo,level 2 cargo,level 3 cargo,ship hatches,level 1 hatches,level 2 hatches,level 3 hatches,hatches dropped,cargo dropped,hab attempt level,hab success,hab level reached,climb time,dead,defense
2849,40,1,2,2,0,1,0,0,4,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0
5945,40,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
6326,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
4472,41,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,3,0,1,2,1,0,0,0
4464,41,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
4514,41,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,4,0
1111,41,1,1,2,0,1,0,0,4,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0
2900,41,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
2537,41,1,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
4821,42,0,1,1,0,1,0,0,4,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0
6213,42,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0
1389,42,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2912,42,1,2,1,0,1,1,0,0,0,0,0,2,0,0,0,0,2,2,2,2,3,0,0
2186,42,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,1,2,1,2,1,0,0,0
7770,42,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0
1123,43,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,28,0,0
7714,43,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
1915,43,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
449,43,1,1,1,0,1,0,0,2,0,0,0,1,0,0,0,1,1,2,2,2,14,0,0
1727,43,0,2,2,0,1,0,0,6,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0
4949,43,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
686,44,0,1,1,0,1,1,0,0,0,0,0,2,0,0,0,3,1,3,2,3,10,0,0
2914,44,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2849,44,0,2,2,0,1,1,0,4,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
1111,44,1,1,2,0,1,0,0,4,1,0,0,0,0,0,0,0,3,1,2,1,0,0,0
5587,44,1,1,1,0,1,0,0,0,0,0,0,2,1,1,1,0,2,1,2,1,0,0,0
4514,44,1,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0
5830,45,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0
2537,45,0,1,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
2900,45,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5115,45,1,1,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0
6213,45,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0
2912,45,0,2,1,0,1,1,0,1,0,0,0,2,0,0,0,0,0,2,2,2,4,4,0
