team #,match #,alliance color,starting level,preload,no show,moved forward,auto piece placed,double auto,ship cargo,level 1 cargo,level 2 cargo,level 3 cargo,ship hatches,level 1 hatches,level 2 hatches,level 3 hatches,hatches dropped,cargo dropped,hab attempt level,hab success,hab level reached,climb time,dead,defense
3359,21,1,2,2,0,1,0,0,3,1,0,0,0,0,0,0,0,1,2,2,2,12,0,0
1418,21,0,1,1,0,1,1,0,3,2,3,2,0,2,0,0,0,0,2,2,2,4,0,0
977,21,0,2,1,0,1,1,0,0,0,0,0,0,1,3,3,0,0,2,2,2,5,0,0
1719,21,1,1,1,0,1,1,0,1,0,0,0,2,1,0,0,0,1,3,2,3,20,0,0
2199,21,0,1,1,0,1,1,0,4,2,0,0,2,1,0,0,0,0,3,2,3,12,0,0
1086,21,1,2,2,0,1,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0
540,22,0,2,1,0,1,0,0,0,2,0,0,0,2,2,0,1,0,2,1,1,0,0,0
1629,22,1,1,1,0,1,0,0,0,0,0,0,1,0,2,2,0,0,3,2,3,16,0,0
1413,22,0,1,1,0,1,1,0,2,2,0,0,2,2,0,0,0,0,1,2,1,0,0,0
3939,22,1,1,1,0,1,1,0,0,0,0,0,0,0,2,2,0,0,2,2,2,30,0,0
2998,22,0,2,1,0,1,1,1,4,0,0,0,2,0,0,0,1,0,2,2,2,1,0,0
339,22,1,2,2,0,1,0,0,3,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0
7770,23,0,2,1,0,1,0,0,3,0,0,0,1,0,0,0,1,1,2,2,2,6,0,0
539,23,0,2,1,0,1,1,0,3,1,0,0,2,0,0,0,0,0,1,2,1,0,0,0
401,23,1,2,1,0,1,1,0,0,2,0,0,0,2,0,0,0,0,3,2,3,7,2,0
4472,23,1,1,1,0,1,1,0,0,0,2,0,0,0,2,2,0,0,2,1,1,0,0,0
346,23,0,2,1,0,1,0,0,1,0,0,0,3,2,0,0,1,1,1,2,1,0,0,0
2912,23,1,2,1,0,1,1,0,3,0,0,0,2,0,0,0,0,1,2,1,1,0,0,0
5587,24,0,1,1,0,1,0,0,2,2,0,0,1,2,1,0,0,1,2,1,1,0,0,0
422,24,0,2,2,0,1,1,0,5,1,0,0,0,0,0,0,1,0,2,2,2,5,0,0
4242,24,1,2,2,0,1,1,0,3,0,0,0,0,2,0,0,0,2,2,2,2,11,0,0
3748,24,1,2,1,1,1,1,0,3,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0
4638,24,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,2
1885,24,1,1,1,0,1,1,0,0,1,0,1,0,2,2,2,0,2,3,2,3,6,0,0
4456,25,1,1,2,0,1,1,0,0,0,1,0,0,0,2,2,0,0,3,2,3,20,0,0
5830,25,0,1,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,2,2,16,0,0
2106,25,0,1,1,0,1,1,0,0,2,2,0,1,0,0,0,0,0,3,2,3,14,0,0
1610,25,0,2,1,0,1,1,0,0,0,0,1,0,2,2,2,1,2,1,2,1,0,0,0
612,25,1,2,1,0,1,0,0,0,1,0,0,0,2,0,0,1,1,2,2,2,6,0,2
2849,25,1,1,1,0,1,0,0,5,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0
1111,26,0,1,1,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
384,26,0,2,1,0,1,1,0,3,0,0,0,4,0,0,0,1,2,3,2,3,4,0,0
1727,26,1,2,1,0,1,1,0,3,2,0,0,2,0,0,0,0,0,2,1,1,0,0,0
619,26,0,2,1,0,1,1,0,2,2,1,0,2,1,0,0,1,1,2,2,2,20,0,0
2068,26,1,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,2,2,5,0,3
1731,26,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,1,3,2,3,14,2,0
6543,27,0,1,2,0,1,1,0,3,0,0,0,0,0,0,0,0,0,2,2,2,10,0,1
2363,27,1,2,1,0,1,0,0,0,0,0,0,3,2,0,0,0,0,3,2,3,4,0,0
2914,27,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0
1599,27,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,14,0,0
3274,27,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,3
836,27,0,2,1,0,1,1,0,0,0,0,0,1,2,0,0,2,1,3,2,3,6,0,0
1123,28,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,60,0,0
4541,28,0,1,1,0,1,1,0,0,0,0,1,1,0,1,2,1,0,1,2,1,0,0,0
888,28,0,2,2,0,1,1,0,3,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0
5338,28,1,1,1,0,1,1,0,0,0,0,0,0,2,2,1,0,0,2,1,1,0,3,0
6802,28,0,2,2,0,1,0,0,4,0,0,0,1,0,0,0,0,1,3,2,3,10,0,0
449,28,1,1,1,0,1,1,0,4,0,0,0,2,0,0,0,0,3,2,1,1,0,0,0
1262,29,0,1,1,0,1,1,0,3,1,0,0,0,2,1,0,0,0,2,2,2,8,0,0
614,29,1,2,1,0,1,1,0,4,0,0,0,1,2,0,0,0,1,1,1,0,0,0,0
5546,29,1,1,1,0,1,1,0,0,0,0,0,2,0,2,1,1,0,3,1,1,0,0,0
2537,29,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,3
2534,29,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,3,2,3,10,0,0
4099,29,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
539,30,0,2,1,0,1,1,0,2,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0
3939,30,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,20,0,3
612,30,0,2,1,0,1,1,0,3,0,0,0,1,1,0,0,0,1,1,2,1,0,0,0
6334,30,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,3,25,0,0
1885,30,0,1,1,0,1,0,0,0,0,0,0,0,2,1,0,1,1,1,2,1,0,0,0
346,30,1,2,1,0,1,1,0,2,0,0,0,3,2,0,0,2,1,0,0,0,0,0,0
7770,31,0,2,1,0,1,1,0,2,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0
339,31,1,2,2,0,1,0,0,1,1,0,0,0,2,0,0,0,0,1,2,1,0,0,0
3748,31,1,1,1,0,1,1,0,3,0,0,0,1,0,0,0,0,0,2,2,2,3,0,0
540,31,1,2,1,0,1,0,0,3,2,0,0,0,2,1,0,0,0,2,1,1,0,0,0
4456,31,0,1,2,0,1,1,0,2,0,0,0,0,0,0,2,3,0,3,2,3,21,0,0
1418,31,0,1,1,0,1,1,0,1,2,1,2,0,2,2,0,0,0,2,2,2,6,0,0
2106,32,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3,10,0,0
6882,32,1,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,3
1719,32,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,2,2,2,2,2,7,0,0
2199,32,0,1,1,0,1,1,0,3,1,0,0,2,0,0,0,1,0,2,1,1,0,0,0
1599,32,1,1,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,3,2,3,21,0,0
1727,32,1,2,1,0,1,0,0,5,1,0,0,1,0,0,0,0,1,1,2,1,0,0,0
5338,33,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,3,2,3,10,0,0
5830,33,1,1,2,0,1,0,0,3,0,0,0,0,0,0,0,0,2,2,2,2,13,0,0
4242,33,0,2,1,0,1,0,0,4,0,0,0,0,0,0,0,1,3,2,2,2,11,0,0
4638,33,0,1,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,2,1,1,0,0,0
3359,33,1,2,2,0,1,1,0,2,0,0,0,1,0,0,0,0,0,3,2,3,7,0,0
3274,33,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,3
4472,34,0,1,1,0,1,1,0,0,0,0,0,0,2,2,2,0,2,3,2,3,12,0,0
4541,34,0,1,1,0,1,1,0,3,2,2,2,1,0,0,0,0,3,1,2,1,0,0,0
1111,34,1,1,1,0,1,1,0,0,3,0,0,1,1,0,0,0,2,1,2,1,0,0,0
6543,34,0,1,2,0,1,1,0,3,0,0,0,0,0,0,0,0,0,2,2,2,8,0,2
977,34,1,2,1,0,1,1,0,0,0,0,0,1,3,1,1,0,0,2,1,0,0,0,1
2849,34,1,2,2,0,1,1,0,4,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0
384,35,0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,2,3,5,0,3
401,35,1,2,1,0,1,1,0,0,1,0,0,1,2,2,1,0,0,3,1,1,0,0,0
836,35,0,2,1,0,1,0,1,1,1,0,0,1,2,0,0,1,0,2,2,2,9,0,1
5546,35,1,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2,2,2,20,0,2
1262,35,1,1,1,0,1,1,0,1,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0
6802,35,0,1,1,0,1,1,0,3,1,0,0,1,2,0,0,0,0,2,1,1,0,0,0
614,36,0,2,1,0,1,1,2,7,0,0,0,2,0,0,0,0,0,2,2,2,10,0,0
1629,36,1,1,1,0,1,1,0,0,3,0,0,2,3,1,0,0,1,1,2,1,0,0,0
5587,36,0,2,1,0,1,1,0,0,2,0,0,1,4,1,0,1,0,2,1,1,0,1,0
1123,36,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,22,0,2
2068,36,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2
2363,36,1,2,1,0,1,0,0,0,1,0,0,0,2,0,0,1,1,3,2,3,8,0,0
1610,37,0,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
686,37,0,1,1,0,1,1,0,2,0,0,0,1,0,0,0,0,1,3,2,3,9,0,0
2914,37,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3
1731,37,1,1,1,0,1,1,0,3,2,0,0,2,3,1,0,1,1,3,1,0,0,0,0
2537,37,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2998,37,1,2,1,0,1,1,0,3,0,0,0,4,0,0,0,0,1,2,2,2,3,0,0
1413,38,0,1,1,0,1,1,0,2,0,0,0,3,0,0,0,1,0,1,2,1,0,0,0
619,38,0,2,1,0,1,1,0,0,1,0,0,1,2,0,0,2,3,2,2,2,5,0,0
888,38,1,2,2,0,1,1,0,4,2,0,0,0,0,0,0,0,0,2,2,2,7,0,0
2534,38,1,1,1,0,1,0,0,3,0,0,0,3,0,1,0,0,1,3,2,3,5,0,0
2912,38,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,2,2,2,10,0,0
